,datemut,valeurfonc,sbati,pp,valeur_per_met
70,2014-03-24,397280.39506172837,47.45679012345679,2.234567901234568,8078.61341585682
71,2014-03-25,446544.92172839504,61.01234567901235,2.3580246913580245,7799.84516093416
72,2014-03-26,332063.4976,42.72,2.01,7726.694869102703
73,2014-03-27,577256.0564583334,61.177083333333336,2.46875,8314.612604887974
74,2014-03-28,490535.528625,59.40625,2.375,8296.467398023644
75,2014-03-29,250000.0,55.0,2.0,4250.0
76,2014-03-30,170000.0,25.0,1.0,6800.0
77,2014-03-31,484257.3202614379,58.071895424836605,2.3529411764705883,8316.474379558716
78,2014-04-01,432599.84375,52.1875,2.34375,8141.0186523034945
79,2014-04-02,454761.18032786885,58.73770491803279,2.2950819672131146,8187.355177330601
80,2014-04-03,388990.5415254237,47.983050847457626,2.2203389830508473,8250.3062881516
