,datemut,valeurfonc,sbati,pp,valeur_per_met
145,2014-06-23,310000.0,38.0,2.0,8125.0
146,2014-06-24,307143.0,42.5,2.0,7785.560344827586
147,2014-06-25,373500.0,48.5,2.0,8723.97435897436
148,2014-06-26,265000.0,36.0,2.0,8021.739130434783
149,2014-06-27,371237.45,47.0,2.0,8169.811320754717
150,2014-06-28,340000.0,46.0,2.0,8066.666666666667
151,2014-06-29,684208.0,84.0,4.0,8145.333333333333
152,2014-06-30,380000.0,50.0,2.0,8255.813953488372
153,2014-07-01,363000.0,47.5,2.0,8293.800539083557
154,2014-07-02,319056.0,43.0,2.0,8666.666666666666
155,2014-07-03,373200.0,47.0,2.0,8750.0
156,2014-07-04,370000.0,48.0,2.0,8000.0
157,2014-07-07,385000.0,50.0,2.0,8357.142857142857
158,2014-07-08,383684.0,49.5,2.0,8257.628294036062
159,2014-07-09,298900.0,41.0,2.0,8159.090909090909
160,2014-07-10,362500.0,48.0,2.0,8409.09090909091
161,2014-07-11,345000.0,43.5,2.0,8195.498595505618
162,2014-07-15,398000.0,48.0,2.0,8361.63101604278
163,2014-07-16,373500.0,42.0,2.0,8450.771281660636
164,2014-07-17,344000.0,46.0,2.0,8178.628389154705
165,2014-07-18,325330.0,46.0,2.0,8181.818181818182
166,2014-07-19,301000.0,56.5,2.0,6151.923076923077
167,2014-07-21,322500.0,46.5,2.0,8146.428571428572
168,2014-07-22,360000.0,45.0,2.0,8478.260869565218
169,2014-07-23,320000.0,43.0,2.0,8289.473684210527
170,2014-07-24,310000.0,45.0,2.0,7844.444444444444
171,2014-07-25,370000.0,44.5,2.0,8464.285714285714
172,2014-07-28,331114.0,47.0,2.0,8039.013732833957
173,2014-07-29,365000.0,50.0,2.0,7976.190476190476
174,2014-07-30,320000.0,45.0,2.0,8336.363636363636
175,2014-07-31,356000.0,46.5,2.0,8116.514012303486
176,2014-08-01,348000.0,50.0,2.0,7892.372881355932
177,2014-08-02,390000.0,47.0,2.0,8297.872340425532
178,2014-08-04,332500.0,44.0,2.0,8109.677419354839
179,2014-08-05,347500.0,40.5,2.0,7709.09757887014
180,2014-08-06,335000.0,43.0,2.0,8018.939393939394
181,2014-08-07,320000.0,43.5,2.0,8118.055555555556
182,2014-08-08,308200.0,40.5,2.0,7893.075980392157
183,2014-08-11,336000.0,46.0,2.0,7838.377192982456
184,2014-08-12,347138.0,41.0,2.0,8072.976744186047
185,2014-08-13,228750.0,35.5,2.0,7757.936507936508
186,2014-08-14,280000.0,35.0,2.0,7955.555555555556
187,2014-08-16,193000.0,65.0,2.0,2969.230769230769
188,2014-08-18,322500.0,40.5,2.0,8508.184143222506
189,2014-08-19,279300.0,37.0,2.0,8121.212121212121
190,2014-08-20,324250.0,49.5,2.0,8178.8175675675675
191,2014-08-21,277000.0,38.0,2.0,8133.333333333333
192,2014-08-22,305000.0,39.0,2.0,8141.911196911196
193,2014-08-23,590000.0,200.0,1.0,2950.0
194,2014-08-25,300000.0,42.0,2.0,7674.418604651163
195,2014-08-26,317050.0,39.5,2.0,8068.445287107259
196,2014-08-27,325310.0,40.0,2.0,8448.426573426572
197,2014-08-28,294500.0,38.0,2.0,8400.0
198,2014-08-29,295000.0,39.0,2.0,8062.5
199,2014-08-30,237500.0,34.5,2.0,7823.920265780731
200,2014-08-31,240000.0,24.0,1.0,8116.216216216217
201,2014-09-01,445000.0,49.5,2.0,8192.948717948719
202,2014-09-02,260435.5,41.5,2.0,8035.185185185185
203,2014-09-03,348000.0,48.0,2.0,8000.0
204,2014-09-04,332750.0,44.0,2.0,8269.346072429773
205,2014-09-05,351000.0,46.0,2.0,8078.039927404719
206,2014-09-06,495000.0,59.0,3.0,7777.777777777777
207,2014-09-08,347500.0,49.5,2.0,7618.382352941177
208,2014-09-09,375000.0,51.0,2.0,7931.0344827586205
209,2014-09-10,334750.0,45.0,2.0,8473.193473193473
210,2014-09-11,305000.0,44.0,2.0,7600.0
211,2014-09-12,341382.5,46.0,2.0,7675.0471401634195
212,2014-09-13,934000.0,106.0,5.0,8811.32075471698
213,2014-09-14,491800.0,57.0,3.0,8628.070175438597
214,2014-09-15,416300.0,53.0,2.0,8017.241379310345
215,2014-09-16,314750.0,39.5,2.0,8210.072463768116
216,2014-09-17,335400.0,50.0,2.0,8108.108108108108
217,2014-09-18,323000.0,45.0,2.0,8095.454545454545
218,2014-09-19,349475.0,41.5,2.0,7942.789968652038
219,2014-09-20,558000.0,50.0,4.0,8409.09090909091
220,2014-09-22,426631.0,53.0,3.0,8275.862068965518
221,2014-09-23,300000.0,39.0,2.0,7692.307692307692
222,2014-09-24,318000.0,43.0,2.0,7794.117647058823
223,2014-09-25,309000.0,42.0,2.0,7593.449477351916
224,2014-09-26,353000.0,45.0,2.0,7905.136363636364
225,2014-09-27,315000.0,40.0,2.0,7750.0
226,2014-09-28,147000.0,22.0,1.0,6681.818181818182
227,2014-09-29,360000.0,43.0,2.0,7978.723404255319
228,2014-09-30,423750.0,50.5,2.0,8240.309200603318
229,2014-10-01,325000.0,44.0,2.0,7875.0
230,2014-10-02,345000.0,50.0,3.0,8153.846153846154
231,2014-10-03,315000.0,42.0,2.0,8181.818181818182
232,2014-10-04,206500.0,27.0,1.0,6842.105263157895
233,2014-10-06,330000.0,42.0,2.0,8461.538461538461
234,2014-10-07,345000.0,49.0,2.0,7747.5728
235,2014-10-08,281750.0,39.0,2.0,8019.2307692307695
236,2014-10-09,313000.0,43.0,2.0,8243.333333333334
237,2014-10-10,393500.0,49.5,2.0,8084.76076555024
238,2014-10-11,310575.0,38.0,2.0,9647.058823529413
239,2014-10-13,365000.0,47.0,2.0,8335.0
240,2014-10-14,281905.0,43.0,2.0,8045.454545454545
241,2014-10-15,358000.0,48.0,2.0,7882.35294117647
242,2014-10-16,252250.0,37.0,2.0,7523.391812865497
243,2014-10-17,390000.0,50.0,2.0,7978.723404255319
244,2014-10-18,545500.0,64.0,3.0,8392.307692307691
245,2014-10-20,362500.0,48.0,2.0,7695.402298850575
246,2014-10-21,238000.0,37.0,2.0,7600.0
247,2014-10-22,301000.0,42.0,2.0,7523.777173913044
248,2014-10-23,285000.0,37.5,2.0,7788.582858950032
249,2014-10-24,374750.0,51.5,3.0,7957.385095939313
250,2014-10-25,320000.0,42.0,2.0,7619.047619047619
251,2014-10-27,285000.0,40.0,2.0,7916.666666666667
252,2014-10-28,280000.0,43.0,2.0,7603.773584905661
253,2014-10-29,323050.0,45.0,2.0,8403.474903474904
254,2014-10-30,356600.0,45.0,2.0,8125.0
255,2014-10-31,323000.0,44.0,2.0,8208.333333333334
256,2014-11-03,295000.0,43.0,2.0,7730.128205128205
257,2014-11-04,286000.0,44.0,2.0,7515.060240963856
258,2014-11-05,320000.0,50.0,2.0,7868.421052631579
259,2014-11-06,310000.0,40.0,2.0,7844.444444444444
260,2014-11-07,330000.0,45.0,2.0,8064.5161290322585
261,2014-11-08,400000.0,52.0,2.0,7692.307692307692
262,2014-11-10,241000.0,39.0,2.0,6885.714285714285
263,2014-11-12,315000.0,44.0,2.0,7708.333333333333
264,2014-11-13,275000.0,43.0,2.0,7962.962962962963
265,2014-11-14,323350.0,45.5,2.0,7866.919191919193
266,2014-11-15,130000.0,27.0,2.0,4814.814814814815
267,2014-11-17,402700.0,45.0,2.0,8594.594594594595
268,2014-11-18,277540.0,38.0,2.0,7636.363636363636
269,2014-11-19,286000.0,39.0,2.0,8187.5
270,2014-11-20,259000.0,36.0,2.0,8104.545454545455
271,2014-11-21,347500.0,46.5,2.0,8250.337837837837
272,2014-11-22,375000.0,47.5,2.0,7639.7949673811745
273,2014-11-24,330700.0,46.0,2.0,8200.0
274,2014-11-25,299250.0,50.0,2.0,7421.875
275,2014-11-26,300000.0,42.0,2.0,8000.0
276,2014-11-27,350000.0,50.0,2.0,8015.217391304348
277,2014-11-28,340000.0,47.5,2.0,7954.153605015674
278,2014-11-29,237500.0,26.0,1.0,9565.656565656565
279,2014-12-01,365000.0,47.5,2.0,8427.197802197803
280,2014-12-02,380000.0,48.0,2.0,8035.0
281,2014-12-03,285000.0,37.0,2.0,8076.923076923077
282,2014-12-04,277500.0,47.5,2.0,7351.92513368984
283,2014-12-05,301500.0,39.0,2.0,7872.685185185185
284,2014-12-06,71500.0,12.0,1.0,5958.333333333333
285,2014-12-08,350000.0,40.0,2.0,7857.142857142857
286,2014-12-09,281500.0,41.0,2.0,7523.584905660377
287,2014-12-10,185500.0,30.5,2.0,7033.333333333334
288,2014-12-11,265000.0,35.0,2.0,8011.842105263158
289,2014-12-12,298950.0,44.0,2.0,7687.5
290,2014-12-13,318625.0,36.5,2.0,9414.67490842491
291,2014-12-15,348500.0,47.0,2.0,8152.5641025641025
292,2014-12-16,373000.0,47.0,2.0,7862.068965517241
293,2014-12-17,298350.0,41.5,2.0,8086.601307189543
294,2014-12-18,276000.0,39.0,2.0,7846.153846153846
295,2014-12-19,345000.0,42.0,2.0,8201.834862385322
296,2014-12-20,300000.0,32.0,2.0,7007.692307692308
297,2014-12-22,342000.0,46.0,2.0,7848.484848484848
