iter	Passed	Remaining
566	17991	45471
567	18028	45452
568	18066	45436
569	18107	45426
570	18140	45399
571	18175	45374
572	18213	45357
573	18246	45330
574	18280	45302
575	18311	45270
576	18342	45237
577	18376	45209
578	18410	45183
579	18443	45154
580	18470	45112
581	18523	45131
582	18578	45154
583	18612	45128
584	18639	45086
585	18671	45053
586	18698	45010
587	18723	44961
588	18750	44919
589	18781	44885
590	18809	44844
591	18835	44798
592	18862	44754
593	18890	44713
594	18914	44663
595	18942	44623
596	18972	44587
597	18998	44540
598	19022	44492
599	19050	44451
600	19075	44403
601	19097	44350
602	19119	44296
603	19144	44247
604	19168	44199
605	19191	44147
606	19213	44093
607	19238	44046
608	19267	44008
609	19291	43958
610	19326	43935
611	19352	43891
612	19378	43845
613	19404	43801
614	19430	43758
615	19457	43716
616	19483	43672
617	19514	43638
618	19539	43593
619	19565	43548
620	19595	43513
621	19621	43469
622	19644	43418
623	19668	43372
624	19692	43324
625	19717	43277
626	19742	43230
627	19764	43180
628	19790	43136
629	19818	43098
630	19843	43052
631	19870	43009
632	19897	42970
633	19925	42930
634	19947	42879
635	19972	42834
636	19994	42783
637	20020	42739
638	20043	42691
639	20070	42648
640	20096	42606
641	20122	42564
642	20145	42515
643	20169	42469
644	20196	42428
645	20219	42379
646	20244	42335
647	20268	42289
648	20294	42245
649	20320	42203
650	20343	42155
651	20366	42107
652	20387	42055
653	20410	42007
654	20435	41963
655	20459	41916
656	20482	41868
657	20509	41829
658	20534	41785
659	20559	41742
660	20589	41707
661	20614	41665
662	20642	41627
663	20669	41587
664	20694	41544
665	20722	41506
666	20750	41469
667	20779	41434
668	20806	41396
669	20831	41351
670	20859	41314
671	20882	41267
672	20906	41223
673	20929	41176
674	20958	41141
675	20983	41097
676	21009	41057
677	21037	41019
678	21060	40974
679	21080	40920
680	21103	40874
681	21117	40809
682	21139	40762
683	21159	40710
684	21186	40671
685	21211	40630
686	21236	40587
687	21259	40541
688	21286	40503
689	21309	40457
690	21340	40426
691	21367	40387
692	21397	40355
693	21427	40322
694	21453	40282
695	21476	40238
696	21500	40194
697	21526	40154
698	21549	40108
699	21572	40063
700	21603	40033
701	21630	39995
702	21655	39952
703	21685	39921
704	21710	39879
705	21735	39837
706	21760	39796
707	21785	39754
708	21810	39714
709	21838	39678
710	21863	39637
711	21887	39593
712	21917	39561
713	21940	39518
714	21966	39479
715	21990	39434
716	22013	39391
717	22041	39354
718	22070	39321
719	22098	39286
720	22125	39248
721	22153	39213
722	22179	39175
723	22205	39135
724	22230	39094
725	22258	39059
726	22282	39016
727	22308	38977
728	22340	38949
729	22363	38907
730	22390	38868
731	22415	38829
732	22439	38787
733	22462	38744
734	22488	38705
735	22514	38666
736	22539	38625
737	22565	38587
738	22592	38550
739	22617	38510
740	22641	38469
741	22670	38435
742	22697	38399
743	22726	38365
744	22757	38336
745	22785	38302
746	22813	38266
747	22836	38223
748	22861	38183
749	22890	38150
750	22916	38112
751	22942	38074
752	22968	38037
753	22992	37995
754	23025	37969
755	23048	37926
756	23078	37895
757	23108	37863
758	23142	37838
759	23167	37800
760	23195	37764
761	23220	37726
762	23247	37690
763	23273	37651
764	23300	37615
765	23327	37579
766	23354	37544
767	23384	37511
768	23408	37472
769	23436	37438
770	23461	37398
771	23487	37360
772	23512	37321
773	23536	37281
774	23564	37246
